2.1SD;MOSI•DZ POBIA£ ZE STACJI DEMONTAØU;material0000102e;ZK;TRUE;FALSE
2.3SD;MOSI•DZ CH£ODNICE ZE STACJI DEMONTAØU Z£OM;material0000102f;ZK;TRUE;FALSE
4.2SD;ALUMINIUM PLASTYKA ZE STACJI DEMONTAØU Z£OM;material00001030;ZK;TRUE;FALSE
4.2CHSD;ALUMINIUM CH£ODNICE ZE STACJI DEMONTAØU Z£OM;material00001031;ZK;TRUE;FALSE
4.3SD;ALUMINIUM ODLEW ZE STACJI DEMONTAØU Z£OM;material00001032;ZK;TRUE;FALSE
4.3FSD;ALUMINIUM FELGA ZE STACJI DEMONTAØU Z£OM;material00001033;ZK;TRUE;FALSE
ZZGSD;Z≥om øeliwny wielkogabarytowy ze stacji demontaøu;material0000109e;ZC;FALSE;FALSE
N2SD;Z≥om stalowy do przerobu na prasonoøycy ze stacji d;material0000109f;ZC;TRUE;TRUE
12.0 M;Z≥om mieszany;material000010a0;ZK;FALSE;FALSE
7.2 CU;GRZA£KI MIEDZIANE Z£OM;material000010ae;ZK;TRUE;FALSE
5.3;CYNK WI”RY Z£OM;material000010b6;ZK;TRUE;FALSE
N10X;Z≥om poprodukcyjny-zgary, szlaka;material000010b8;ZC;TRUE;TRUE
N10Z;Z≥om stalowy do przerobu na sprzÍpiarce ze zbrojarn;material000010b9;ZC;TRUE;TRUE
8.2;Akumulatory z≥om - pozosta≥e;material000010da;ZK;FALSE;FALSE
N5N;Z≥om stalowy poprodukcyjny o gruboúci pow. 6 mm w p;material00001134;ZC;TRUE;TRUE
10.1 ZP;Elementy z≥omowe pochodzπce z Zak≥adu Przetwarzania;material00001159;ZK;TRUE;FALSE
4.11;ALUMINIUM PY£ Z£OM;material00001161;ZK;TRUE;FALSE
4.2BP;ALUMINIUM BLACHY POPRODUKCYJNE Z£OM;material000011da;ZK;TRUE;FALSE
6.1J;O£”W Z JUT• Z£OM;material000011db;ZK;TRUE;FALSE
6.1O;O£”W ODWAØNIKI Z£OM;material000011dc;ZK;TRUE;FALSE
7.3G;GARY NIERDZEWNE Z£OM;material000011dd;ZK;TRUE;FALSE
9.0A1;STAL NARZ DZIOWA Z£OM GRUPA 1;material000011de;ZK;TRUE;FALSE
9.0A2;STAL NARZ DZIOWA Z£OM GRUPA 2;material000011df;ZK;TRUE;FALSE
9.0A3;STAL NARZ DZIOWA Z£OM GRUPA 3;material000011e0;ZK;TRUE;FALSE
N10 MIX;Z£OM METALI KOLOROWYCH MIX;material000011ef;ZK;FALSE;FALSE
W3P;Z≥om stalowy poprodukcyjny kawa≥kowy drobny, minima;material000011f3;ZC;TRUE;TRUE
W5P;Z≥om kawa≥kowy poprodukcyjny bez odcinkÛw rurm, min;material000011f4;ZC;FALSE;FALSE
W13ØP;WiÛry øeliwne poprodukcyjne;material000011f5;ZC;FALSE;FALSE
W13P;WiÛry stalowe poprodukcyjne;material000011f6;ZC;FALSE;FALSE
N10D;Z≥om stalowy - druty zbrojeniowe;material000011f7;ZC;TRUE;TRUE
N2P;Z≥om stalowy poprodukcyjny do przerobu na prasonoøy;material000011f9;ZC;FALSE;FALSE
N5P;Z≥om stalowy poprodukcyjny o gruboúci powyøej 6 mm;material000011fa;ZC;FALSE;FALSE
N15NP;Z≥om odpadÛw poprodukcyjnych przemys≥u opakowaniowe;material000011fb;ZC;TRUE;TRUE
N15N PACZKA;Paczki z odpadÛw poprodukcyjnych przemys≥u opakowan;material000011fc;ZC;FALSE;FALSE
BCZ1P;Blacha g≥Íbokot≥oczona, poprodukcyjna, czarna, wymi;material000011fd;ZC;TRUE;TRUE
NSP;Blacha niewsadowa poprodukcyjna- mix;material000011fe;ZC;TRUE;TRUE
NS1;Blacha g≥Íbokot≥oczona, czarna, wymiary powyøej 40 ;material000011ff;ZC;TRUE;TRUE
NS1P;Blacha g≥Íbokot≥oczona, czarna, poprodukcyjna, wymi;material00001200;ZC;TRUE;TRUE
NS2;Blacha g≥Íbokot≥oczona, czarna, wymiary powyøej 40 ;material00001201;ZC;FALSE;FALSE
NS2P;Blacha g≥Íbokot≥oczona, czarna, poprodukcyjna , wym;material00001202;ZC;FALSE;FALSE
NS1 PACZKA;Paczki z blachy g≥Íbokot≥oczonej czarnej;material00001203;ZC;FALSE;FALSE
NS2 PACZKA;Paczki z blachy g≥Íbokot≥oczonej czarnej;material00001204;ZC;FALSE;FALSE
BO1P;Blacha g≥Íbokot≥oczona ocynkowana poprodukcyjna,  w;material00001205;ZC;TRUE;TRUE
B02P;Blacha g≥Íbokot≥oczona ocynkowana poprodukcyjna,  d;material00001206;ZC;FALSE;FALSE
BO PACZKA;Paczki z blachy g≥Íbokot≥oczonej ocynkowanej;material00001207;ZC;FALSE;FALSE
ZZWP;Z≥om øeliwny wsadowy poprodukcyjny;material00001208;ZC;FALSE;FALSE
BO2P;Blacha g≥Íbokot≥oczona ocynkowana, poprodukcyjna d≥;material00001209;ZC;TRUE;TRUE
N10OP;Z≥om stalowy poprodukcyjny- druciki drobne, zaniecz;material0000120a;ZC;TRUE;TRUE
N15K;Z≥om opakowaÒ metalowych z pow≥okπ cyny oraz z≥om z;material00001214;ZC;TRUE;TRUE
4.2T;ALUMINIUM PLASTYKA Z£OM;material00001239;ZK;TRUE;FALSE
1.0T;MIEDè MILBERY Z£OM;material0000123e;ZK;TRUE;FALSE
1.1ST;MIEDè KAWA£EK åWIEC•CY Z£OM;material0000123f;ZK;TRUE;FALSE
1.2T;MIEDè KAWA£EK + GRUBA PALONA Z£OM;material00001240;ZK;TRUE;FALSE
1.3T;MIEDè NIESORT Z£OM;material00001241;ZK;TRUE;FALSE
1.4T;MIEDè POBIA£ Z£OM;material00001242;ZK;TRUE;FALSE
1.5T;MIEDè PIECYK Z£OM;material00001243;ZK;TRUE;FALSE
1.6T;KABEL MIEDZIANY Z£OM;material00001244;ZK;TRUE;FALSE
1.9T;MIEDZIONOåNY Z£OM;material00001245;ZK;TRUE;FALSE
ZSEE1*;Wielkogabarytowe urzπdzenia gospodarstwa domowego;material00001249;ZK;TRUE;FALSE
4.5N;ALUMINIUM NAKR TKI Z£OM;material0000125d;ZK;FALSE;FALSE
7.3D;STAL CHROMOWA Z£OM - DRUT DSD;material0000126c;ZK;FALSE;FALSE
2.0T;MOSI•DZ Ø”£TY Z£OM;material00001277;ZK;TRUE;FALSE
2.1T;MOSI•DZ POBIA£ Z£OM;material00001278;ZK;TRUE;FALSE
2.2T;MOSI•DZ M 63 Z£OM;material00001279;ZK;TRUE;FALSE
2.3T;MOSI•DZ CH£ODNICE Z£OM;material0000127a;ZK;TRUE;FALSE
2.4T;WI”RY MOSI•DZ/BR•Z MIX Z£OM;material0000127b;ZK;TRUE;FALSE
2.5T;MOSI•DZ W ØYKI Z£OM;material0000127c;ZK;TRUE;FALSE
3.0T;BR•Z NIEMAGNETYCZNY Z£OM;material0000127d;ZK;TRUE;FALSE
3.1T;BR•Z MAGNETYCZNY Z£OM;material0000127e;ZK;TRUE;FALSE
3.2T;BR•Z WI”RY Z£OM;material0000127f;ZK;TRUE;FALSE
4.0T;ALUMINIUM SEKTOR Z£OM;material00001280;ZK;TRUE;FALSE
4.1T;ALUMINIUM LINKA Z£OM;material00001281;ZK;TRUE;FALSE
4.2 A1T;ALUMINIUM SPOØYWKA Z£OM;material00001282;ZK;TRUE;FALSE
4.2 CHT;ALUMINIUM CH£ODNICE Z£OM;material00001283;ZK;TRUE;FALSE
4.2KT;KABEL ALUMINIOWY Z£OM;material00001284;ZK;TRUE;FALSE
4.3T;ALUMINIUM ODLEW Z£OM;material00001285;ZK;TRUE;FALSE
4.3FT;ALUMINIUM FELGA Z£OM;material00001286;ZK;TRUE;FALSE
4.4T;ALUMINIUM OFFSET Z£OM;material00001287;ZK;TRUE;FALSE
4.5T;ALUMINIUM PUSZKI Z£OM;material00001288;ZK;TRUE;FALSE
4.6T;ALUMINIUM FOLIA Z£OM;material00001289;ZK;TRUE;FALSE
4.7T;ALUMINIUM STOPOWE/MAGNEZOWE Z£OM;material0000128a;ZK;TRUE;FALSE
4.8T;ALUMINIUM ØALUZJE Z£OM;material0000128b;ZK;TRUE;FALSE
4.8RT;ALUMINIUM ROLETY Z£OM;material0000128c;ZK;TRUE;FALSE
4.9T;ALUMINIUM WI”RY Z£OM;material0000128d;ZK;TRUE;FALSE
4.10T;ALUMINIUM ZGARY Z£OM;material0000128e;ZK;TRUE;FALSE
4.11T;ALUMINIUM PY£ Z£OM;material0000128f;ZK;TRUE;FALSE
4.12T;CH£ODNICE ALUMINIOWO MIEDZIANE Z£OM;material00001290;ZK;TRUE;FALSE
5.0T;CYNK Z£OM;material00001291;ZK;TRUE;FALSE
5.1T;ZnAl Z£OM;material00001292;ZK;TRUE;FALSE
5.2T;CYNA Z£OM;material00001293;ZK;TRUE;FALSE
5.3T;CYNK WI”RY Z£OM;material00001294;ZK;TRUE;FALSE
6.0T;O£”W CZYSTY Z£OM;material00001295;ZK;TRUE;FALSE
6.1T;O£”W Z BITUMEM Z£OM;material00001296;ZK;TRUE;FALSE
6.1JT;O£”W Z JUT• Z£OM;material00001297;ZK;TRUE;FALSE
6.1OT;O£”W ODWAØNIKI Z£OM;material00001298;ZK;TRUE;FALSE
7.0T;CHROMONIKIEL Z£OM;material00001299;ZK;TRUE;FALSE
7.0 AT;CHROMONIKIEL Z£OM O ZAWARTOåCI NIKLU POW. 9%;material0000129a;ZK;TRUE;FALSE
7.0 A1T;STAL NIERDZEWNA O ZAWARTOåCI Ni 9,5%, Ni 10%, Ni 11%, Ni 12%;material0000129b;ZK;TRUE;FALSE
7.0A2T;STAL NIERDZEWNA O ZAWARTOåCI Ni 10% - 14% i Mo 2% - 3%;material0000129c;ZK;TRUE;FALSE
7.0A3T;STAL NIERDZEWNA O ZAWARTOåCI Ni 20% - 25% I Mo 3% - 6%;material0000129d;ZK;TRUE;FALSE
7.0NT;CZYSTY NIKIEL;material0000129e;ZK;TRUE;FALSE
7.1T;WI”RY NIERDZEWNE Z£OM;material0000129f;ZK;TRUE;FALSE
7.2T;GRZA£KI NIERDZEWNE Z£OM;material000012a0;ZK;TRUE;FALSE
7.2 CUT;GRZA£KI MIEDZIANE Z£OM;material000012a1;ZK;TRUE;FALSE
7.3T;STAL CHROMOWA Z£OM;material000012a2;ZK;TRUE;FALSE
7.3GT;GARY NIERDZEWNE Z£OM;material000012a3;ZK;TRUE;FALSE
8.0T;AKUMULATORY Z£OM;material000012a4;ZK;TRUE;FALSE
8.1T;AKUMULATORY KADMOWO-NIKLOWE Z£OM;material000012a5;ZK;TRUE;FALSE
9.0A1T;STAL NARZ DZIOWA Z£OM GRUPA 1;material000012a6;ZK;TRUE;FALSE
9.0A2T;STAL NARZ DZIOWA Z£OM GRUPA 2;material000012a7;ZK;TRUE;FALSE
